Package            Version      Latest       Type
------------------ ------------ ------------ -----
asttokens          2.0.5        2.2.1        wheel
attrs              21.2.0       22.2.0       wheel
beautifulsoup4     4.11.1       4.12.0       wheel
certifi            2021.10.8    2022.12.7    wheel
charset-normalizer 2.0.8        3.1.0        wheel
cloudpickle        2.2.0        2.2.1        wheel
contourpy          1.0.6        1.0.7        wheel
cryptography       39.0.0       40.0.1       wheel
decorator          4.4.2        5.1.1        wheel
Django             4.1.4        4.1.7        wheel
executing          0.9.1        1.2.0        wheel
exif               1.5.0        1.6.0        wheel
filelock           3.8.0        3.10.6       wheel
fonttools          4.38.0       4.39.2       wheel
future             0.18.2       0.18.3       sdist
gpt-do             0.1.14       0.1.16       wheel
greenlet           1.1.2        2.0.2        wheel
idna               3.3          3.4          wheel
imageio            2.23.0       2.26.1       wheel
imageio-ffmpeg     0.4.7        0.4.8        wheel
iniconfig          1.1.1        2.0.0        wheel
ipython            8.4.0        8.11.0       wheel
jedi               0.18.1       0.18.2       wheel
MarkupSafe         2.1.1        2.1.2        wheel
matplotlib         3.6.2        3.7.1        wheel
matplotlib-inline  0.1.3        0.1.6        wheel
mpmath             1.2.1        1.3.0        wheel
mutagen            1.45.1       1.46.0       wheel
numpy              1.23.2       1.24.2       wheel
openai             0.25.0       0.27.2       wheel
openpyxl           3.0.10       3.1.2        wheel
packaging          21.3         23.0         wheel
pandas             1.5.2        1.5.3        wheel
pandas-stubs       1.5.2.221213 1.5.3.230321 wheel
Pillow             9.3.0        9.4.0        wheel
pip                22.2.1       23.0.1       wheel
pipenv             2022.8.24    2023.3.20    wheel
platformdirs       2.5.2        3.2.0        wheel
playwright         1.19.1       1.31.1       wheel
prompt-toolkit     3.0.30       3.0.38       wheel
pudb               2022.1.2     2022.1.3     sdist
pycryptodomex      3.15.0       3.17         wheel
PyDispatcher       2.0.6        2.0.7        wheel
pyee               8.1.0        9.0.4        wheel
Pygments           2.12.0       2.14.0       wheel
pynvml             11.4.1       11.5.0       wheel
pyOpenSSL          23.0.0       23.1.0       wheel
pyparsing          3.0.6        3.0.9        wheel
pytest             7.0.1        7.2.2        wheel
pytest-base-url    1.4.2        2.0.0        wheel
pytest-forked      1.4.0        1.6.0        wheel
pytest-playwright  0.2.3        0.3.2        wheel
pytest-xdist       2.5.0        3.2.1        wheel
python-slugify     5.0.2        8.0.1        wheel
pytz               2022.6       2023.2       wheel
reader             3.2          3.5          wheel
requests           2.26.0       2.28.2       wheel
rich               12.6.0       13.3.2       wheel
scalene            1.5.16       1.5.20       wheel
Scrapy             2.7.1        2.8.0        wheel
setuptools         65.1.0       67.6.0       wheel
soupsieve          2.3.2.post1  2.4          wheel
stack-data         0.3.0        0.6.2        wheel
tqdm               4.64.1       4.65.0       wheel
traitlets          5.3.0        5.9.0        wheel
types-pytz         2022.7.0.0   2023.2.0.0   wheel
typing_extensions  4.4.0        4.5.0        wheel
urllib3            1.26.7       1.26.15      wheel
virtualenv         20.16.3      20.21.0      wheel
wcwidth            0.2.5        0.2.6        wheel
websockets         10.1         10.4         wheel
Werkzeug           2.2.2        2.2.3        wheel
wheel              0.37.1       0.40.0       wheel
yfinance           0.2.13       0.2.14       wheel
yt-dlp             2023.2.17    2023.3.4     wheel
zope.interface     5.5.2        6.0          wheel
